
https://data.gov.ua/dataset/770cc750-4333-424f-b6e9-6e6c5c76aec9/resource/d2b1a7d2-9222-4dfa-b57e-c0bb0b21485b/download/sichen-2019.csv
;Усі працівнки
Працівник; Посада; Оплата по окладу; Премія місячна; Сума
Кличко В. В.;Київський міський голова;4720.0;0.0;30886.47
Поворозник М. Ю.;Перший заступник голови КМДА;10500.0;1575.0;141773.22
Давтян Д. О.;Заступник голови КМДА;8125.0;1218.75;32279.51
Мондриївський В. М.;Заступник голови КМДА;8750.0;1312.5;117046.96
Непоп В. І.;Заступник голови КМДА;12500.0;1312.5;114615.73
Пантелеєв П. О.;Заступник голови КМДА;10000.0;1500.0;127663.83
Слончак В. В.;Заступник голови КМДА з питань здійснення самоврядних повноважень;10000.0;0.0;36005.38
Спасибко О. В.;Заступник голови КМДА;9343.75;1401.56;122450.83
Хонда М. П.;Заступник голови КМДА з питань здійснення самоврядних повноважень;13125.0;0.0;47650.81

;Працівники з найбільшим окладом
Працівник; Посада; Оплата по окладу; Премія місячна; Сума
Хонда М. П.;Заступник голови КМДА з питань здійснення самоврядних повноважень;13125.0;0.0;47650.81

;Працівники з найбільшою місячною премією
Працівник; Посада; Оплата по окладу; Премія місячна; Сума
Поворозник М. Ю.;Перший заступник голови КМДА;10500.0;1575.0;141773.22

;Працівники з найбільшою сумою
Працівник; Посада; Оплата по окладу; Премія місячна; Сума
Поворозник М. Ю.;Перший заступник голови КМДА;10500.0;1575.0;141773.22



https://data.gov.ua/dataset/770cc750-4333-424f-b6e9-6e6c5c76aec9/resource/38ef4e5e-72ec-4715-95d7-28c0fd42176c/download/liutii-2019.csv
;Усі працівнки
Працівник; Посада; Оплата по окладу; Премія місячна; Сума
Кличко В. В.;Київський міський голова;12797.71;0.0;24571.44
Поворозник М. Ю.;Перший заступник голови КМДА;12255.0;3051.0;45393.22
Давтян Д. О.;Заступник голови КМДА;13645.54;3193.4;28622.92
Мондриївський В. М.;Заступник голови КМДА;14375.0;3375.0;30705.18
Непоп В. І.;Заступник голови КМДА;13895.54;3493.4;26836.02
Пантелеєв П. О.;Заступник голови КМДА;13752.68;3321.97;31065.39
Слончак В. В.;Заступник голови КМДА з питань здійснення самоврядних повноважень;13058.93;3183.22;32390.37
Спасибко О. В.;Заступник голови КМДА;14446.43;3460.72;30495.26
Хонда М. П.;Заступник голови КМДА з питань здійснення самоврядних повноважень;14625.0;3675.0;31338.0

;Працівники з найбільшим окладом
Працівник; Посада; Оплата по окладу; Премія місячна; Сума
Хонда М. П.;Заступник голови КМДА з питань здійснення самоврядних повноважень;14625.0;3675.0;31338.0

;Працівники з найбільшою місячною премією
Працівник; Посада; Оплата по окладу; Премія місячна; Сума
Хонда М. П.;Заступник голови КМДА з питань здійснення самоврядних повноважень;14625.0;3675.0;31338.0

;Працівники з найбільшою сумою
Працівник; Посада; Оплата по окладу; Премія місячна; Сума
Поворозник М. Ю.;Перший заступник голови КМДА;12255.0;3051.0;45393.22



https://data.gov.ua/dataset/770cc750-4333-424f-b6e9-6e6c5c76aec9/resource/953aae94-8c82-4296-881f-f57b3a7be389/download/berezen-2019.csv
;Усі працівнки
Працівник; Посада; Оплата по окладу; Премія місячна; Сума
Кличко В. В.;Київський міський голова;17760.0;0.0;25752.0
Поворозник М. Ю.;Перший заступник голови КМДА;14763.0;2952.6;44466.31
Давтян Д. О.;Заступник голови КМДА;12487.5;2497.5;33245.07
Мондриївський В. М.;Заступник голови КМДА;12487.5;2497.5;32342.63
Непоп В. І.;Заступник голови КМДА;13875.0;2775.0;32606.25
Пантелеєв П. О.;Заступник голови КМДА;13875.0;2775.0;37601.25
Слончак В. В.;Заступник голови КМДА з питань здійснення самоврядних повноважень;13875.0;2775.0;35936.25
Спасибко О. В.;Заступник голови КМДА;13875.0;2775.0;34271.25
Хонда М. П.;Заступник голови КМДА з питань здійснення самоврядних повноважень;11793.75;2358.75;37359.64

;Працівники з найбільшим окладом
Працівник; Посада; Оплата по окладу; Премія місячна; Сума
Кличко В. В.;Київський міський голова;17760.0;0.0;25752.0

;Працівники з найбільшою місячною премією
Працівник; Посада; Оплата по окладу; Премія місячна; Сума
Поворозник М. Ю.;Перший заступник голови КМДА;14763.0;2952.6;44466.31

;Працівники з найбільшою сумою
Працівник; Посада; Оплата по окладу; Премія місячна; Сума
Поворозник М. Ю.;Перший заступник голови КМДА;14763.0;2952.6;44466.31



https://data.gov.ua/dataset/770cc750-4333-424f-b6e9-6e6c5c76aec9/resource/edd8e5e6-4f95-4e61-a400-d1cf3994a43e/download/kviten-2019.csv
;Усі працівнки
Працівник; Посада; Оплата по окладу; Премія місячна; Сума
Кличко В. В.;Київський міський голова;9768.0;0.0;26038.43
Поворозник М. Ю.;Перший заступник голови КМДА;14763.0;2952.6;42074.55
Давтян Д. О.;Заступник голови КМДА;12487.5;2497.5;33445.8
Мондриївський В. М.;Заступник голови КМДА;13181.25;2636.25;34139.44
Непоп В. І.;Заступник голови КМДА;13875.0;2775.0;32606.25
Пантелеєв П. О.;Заступник голови КМДА;13181.25;2636.25;37444.21
Слончак В. В.;Заступник голови КМДА з питань здійснення самоврядних повноважень;13875.0;2775.0;35936.25
Спасибко О. В.;Заступник голови КМДА;12487.5;2497.5;34291.67
Хонда М. П.;Заступник голови КМДА з питань здійснення самоврядних повноважень;13875.0;2775.0;36768.75

;Працівники з найбільшим окладом
Працівник; Посада; Оплата по окладу; Премія місячна; Сума
Поворозник М. Ю.;Перший заступник голови КМДА;14763.0;2952.6;42074.55

;Працівники з найбільшою місячною премією
Працівник; Посада; Оплата по окладу; Премія місячна; Сума
Поворозник М. Ю.;Перший заступник голови КМДА;14763.0;2952.6;42074.55

;Працівники з найбільшою сумою
Працівник; Посада; Оплата по окладу; Премія місячна; Сума
Поворозник М. Ю.;Перший заступник голови КМДА;14763.0;2952.6;42074.55


